uniprot_id,protein_name,organism,organism_id,gene_name,length,function
A0A6A5SUW6,A0A6A5SUW6_9PLEO Terpene synthase,Clathrospora elynae,706981,EJ02DRAFT_510577,396,
A0A6A5UD78,A0A6A5UD78_9PLEO Terpene synthase,Byssothecium circinans,147558,CC80DRAFT_487549,408,
A0A6A5UIR2,A0A6A5UIR2_9PLEO Terpene synthase,Bimuria novae-zelandiae CBS 107.79,1447943,BU23DRAFT_547397,409,
A0A6A5WM93,A0A6A5WM93_9PLEO Terpene synthase,Amniculicola lignicola CBS 123094,1392246,P154DRAFT_592094,379,
A0A6A5XGQ6,A0A6A5XGQ6_9PLEO Ent-kaurene synthase,Aaosphaeria arxii CBS 175.79,1450172,BU24DRAFT_453558,670,
A0A6A5Y525,A0A6A5Y525_9PLEO Terpene synthase,Aaosphaeria arxii CBS 175.79,1450172,BU24DRAFT_459904,340,
A0A6A5YM01,A0A6A5YM01_9PLEO Ent-kaurene synthase,Lophiotrema nucula,690887,BDV96DRAFT_587804,974,
A0A6A5YS33,A0A6A5YS33_9PLEO Terpene synthase,Lophiotrema nucula,690887,BDV96DRAFT_636378,394,
A0A6A5YX74,A0A6A5YX74_9PLEO Terpene synthase,Lophiotrema nucula,690887,BDV96DRAFT_603805,392,
A0A6A6BSB5,A0A6A6BSB5_9PEZI Terpene synthase,Aplosporella prunicola CBS 121167,1176127,K452DRAFT_315168,334,
A0A6A6KAH6,A0A6A6KAH6_HEVBR Uncharacterized protein,Hevea brasiliensis,3981,GH714_008426,598,
A0A6A6KJP3,A0A6A6KJP3_HEVBR Terpene synthase N-terminal domain-containing protein,Hevea brasiliensis,3981,GH714_002057,535,
A0A6A6L9X5,A0A6A6L9X5_HEVBR ent-kaurene synthase,Hevea brasiliensis,3981,GH714_020808,743,
A0A6A6LVG2,A0A6A6LVG2_HEVBR RRM domain-containing protein,Hevea brasiliensis,3981,GH714_031996,590,
A0A6A6LWT5,A0A6A6LWT5_HEVBR Uncharacterized protein,Hevea brasiliensis,3981,GH714_032012,844,
A0A6A6LXY4,A0A6A6LXY4_HEVBR NPH3 domain-containing protein,Hevea brasiliensis,3981,GH714_001122,1286,
A0A6A6MV63,A0A6A6MV63_HEVBR Sulfurtransferase,Hevea brasiliensis,3981,GH714_039560,825,
A0A6A6N410,A0A6A6N410_HEVBR ent-kaurene synthase,Hevea brasiliensis,3981,GH714_027368,777,
A0A6A6RQ37,A0A6A6RQ37_9PLEO Terpene synthase,Massarina eburnea CBS 473.64,1395130,P280DRAFT_435827,351,
A0A6A6T3T6,A0A6A6T3T6_9PLEO Terpene synthase,Lophiostoma macrostomum CBS 122681,1314788,K491DRAFT_601706,360,
A0A6A6T5Q8,A0A6A6T5Q8_9PLEO Terpene synthase,Lophiostoma macrostomum CBS 122681,1314788,K491DRAFT_758387,379,
A0A6A6X9T9,A0A6A6X9T9_9PLEO Terpene synthase,Melanomma pulvis-pyrius CBS 109.77,1314802,K505DRAFT_277550,340,
A0A6A6ZGH3,A0A6A6ZGH3_9PLEO Terpene synthase,Ophiobolus disseminans,1469910,CC86DRAFT_412577,424,
A0A6B7FUL8,A0A6B7FUL8_CHAFM Germacrene A synthase,Chamaecyparis formosensis,187461,gerA,589,
A0A6B7LF66,A0A6B7LF66_PRUVU Terpene synthase 16,Prunella vulgaris,39358,TPS16,594,
A0A6B8N414,A0A6B8N414_TAICR Terpene synthase 1,Taiwania cryptomerioides,50187,TPS1,606,
A0A6B8N4A7,A0A6B8N4A7_TAICR Terpene synthase 2,Taiwania cryptomerioides,50187,TPS2,605,
A0A6C0QEC8,A0A6C0QEC8_TAICR Terpene synthase 13,Taiwania cryptomerioides,50187,TPS13,628,
A0A6C0QEF1,A0A6C0QEF1_TAICR Terpene synthase 15,Taiwania cryptomerioides,50187,TPS15,610,
A0A6C0QGI1,A0A6C0QGI1_TAICR Terpene synthase 17,Taiwania cryptomerioides,50187,TPS17,593,
A0A6C0TIW0,A0A6C0TIW0_TAICR Terpene synthase,Taiwania cryptomerioides,50187,TPS2,605,
A0A6C0W129,A0A6C0W129_9CONI Putative (-)-alpha pinene synthase,Pinus nigra subsp. laricio,658419,MTPS_1.5,635,
A0A6C0W194,A0A6C0W194_9CONI Putative (+)-alpha pinene synthase,Pinus nigra subsp. laricio,658419,MTPS_1.7,629,
A0A6D2I212,A0A6D2I212_9BRAS Terpene synthase metal-binding domain-containing protein,Microthlaspi erraticum,1685480,MERR_LOCUS8152,672,
A0A6D2JEJ6,A0A6D2JEJ6_9BRAS Terpene synthase metal-binding domain-containing protein,Microthlaspi erraticum,1685480,MERR_LOCUS25360,578,
A0A6F8YYM8,A0A6F8YYM8_9ACTN Terpene synthase,Phytohabitans suffuscus,624315,cyc2,721,
A0A6G1CAH4,A0A6G1CAH4_9ORYZ Sesquiterpene synthase,Oryza meyeriana var. granulata,110450,E2562_000368,545,
A0A6G1CB08,A0A6G1CB08_9ORYZ Sesquiterpene synthase,Oryza meyeriana var. granulata,110450,E2562_000368,518,
A0A6G1CBY8,A0A6G1CBY8_9ORYZ Terpene synthase N-terminal domain-containing protein,Oryza meyeriana var. granulata,110450,E2562_000368,451,
A0A6G1CBZ2,A0A6G1CBZ2_9ORYZ Terpene synthase N-terminal domain-containing protein,Oryza meyeriana var. granulata,110450,E2562_000368,478,
A0A6G1D0R7,A0A6G1D0R7_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_011459,786,
A0A6G1F9S6,A0A6G1F9S6_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_019187,838,
A0A6G1F9U4,A0A6G1F9U4_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_019187,844,
A0A6G1F9U9,A0A6G1F9U9_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_019187,833,
A0A6G1F9X1,A0A6G1F9X1_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_019187,819,
A0A6G1FA21,A0A6G1FA21_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_019187,852,
A0A6G1FA51,A0A6G1FA51_9ORYZ ent-copalyl diphosphate synthase,Oryza meyeriana var. granulata,110450,E2562_019187,830,
A0A6G1IHH2,A0A6G1IHH2_9PLEO Terpene synthase,Lentithecium fluviatile CBS 122367,1168545,K458DRAFT_319520,325,
A0A6G3SLF7,A0A6G3SLF7_STRAQ Terpene synthase,Streptomyces anulatus,1892,G3I43_06055,325,
A0A6G3TEP9,A0A6G3TEP9_9ACTN Terpene synthase,Streptomyces rubrogriseus,194673,G3I66_18190,439,
A0A6G3WPP2,A0A6G3WPP2_9ACTN Terpene synthase,Streptomyces sp. SID7499,2706086,G3M58_13250,454,
A0A6G4AD60,A0A6G4AD60_9ACTN Terpene synthase,Streptomyces rhizosphaericus,114699,G4H13_09430,388,
A0A6G4VG74,A0A6G4VG74_9ACTN 2-methylisoborneol synthase,Streptomyces scabichelini,2711217,G5C60_35475,458,
A0A6G4X1K7,A0A6G4X1K7_9ACTN Terpene synthase,Streptomyces boncukensis,2711219,G5C65_20920,387,
A0A6G5RQQ6,A0A6G5RQQ6_9ACTN Terpene synthase,Streptomyces hawaiiensis,67305,CEB94_39485,442,
A0A6G7GGP9,A0A6G7GGP9_ASPUT Geranylgeranyl diphosphate synthase,Aspergillus ustus,40382,,708,
A0A6G9XQ50,A0A6G9XQ50_NOCBR 2-methylisoborneol synthase,Nocardia brasiliensis,37326,F5X71_12775,463,
A0A6G9YDE4,A0A6G9YDE4_9NOCA 2-methylisoborneol synthase,Nocardia arthritidis,228602,F5544_16850,524,
A0A6G9Z1B9,A0A6G9Z1B9_9NOCA 2-methylisoborneol synthase,Nocardia terpenica,455432,F6W96_14460,421,
A0A6G9Z285,A0A6G9Z285_9NOCA Terpene synthase,Nocardia terpenica,455432,F6W96_15865,409,
A0A6H9V713,A0A6H9V713_9ACTN Terpene synthase,Streptomyces luteolifulvus,2615112,F7R91_09100,353,
A0A6H9YJR7,A0A6H9YJR7_9ACTN Terpene synthase,Actinomadura rudentiformis,359158,F8566_45870,390,
A0A6I3W0T4,A0A6I3W0T4_9PSED Terpene synthase,Pseudomonas spelaei,1055469,GNF76_05545,369,
A0A6I3WK31,A0A6I3WK31_9PSED Terpene synthase,Pseudomonas spelaei,1055469,GNF76_25165,328,
A0A6I4MBZ9,A0A6I4MBZ9_9ACTN Terpene synthase,Actinomadura physcomitrii,2650748,F8568_015610,333,
A0A6I6FG49,A0A6I6FG49_9ACTN Terpene synthase,Streptomyces ficellus,1977088,EIZ62_30005,499,
A0A6I6FWG2,A0A6I6FWG2_9ACTN Terpene synthase,Streptomyces ficellus,1977088,EIZ62_31190,749,
A0A6I6N1Y6,A0A6I6N1Y6_9ACTN Terpene synthase,Streptomyces broussonetiae,2686304,GQF42_05890,350,
A0A6I8LLG0,A0A6I8LLG0_9PSEU Terpene synthase,Amycolatopsis camponoti,2606593,AA23TX_02901,371,
A0A6J1ALF3,A0A6J1ALF3_9ROSI (+)-delta-cadinene synthase,Herrania umbratica,108875,LOC110419182,553,
A0A6J1BM18,A0A6J1BM18_9ROSI (+)-delta-cadinene synthase,Herrania umbratica,108875,LOC110428749,560,
A0A6J3MIQ1,A0A6J3MIQ1_9PEZI Terpene synthase,Dissoconium aciculare CBS 342.82,1314786,K489DRAFT_349444,322,
A0A6L3NMB5,A0A6L3NMB5_9BURK Terpene synthase,Burkholderia territorii,1503055,F7R13_03830,677,
A0A6L3VKY5,A0A6L3VKY5_9ACTN Terpene synthase,Actinomadura montaniterrae,1803903,F9B16_30715,339,
A0A6L6WTU0,A0A6L6WTU0_9ACTN Terpene synthase,Streptomyces typhae,2681492,GPA10_12760,433,
A0A6M4WNZ4,A0A6M4WNZ4_9ACTN Terpene synthase,Streptomyces asoensis,249586,G9272_04110,350,
A0A6N2ATD5,A0A6N2ATD5_SOLCI Terpene synthase metal-binding domain-containing protein,Solanum chilense,4083,EJD97_022681,671,
A0A6N2CDV9,A0A6N2CDV9_SOLCI Ent-kaurene synthase,Solanum chilense,4083,EJD97_015265,850,
A0A6N9UC00,A0A6N9UC00_9ACTN Terpene synthase,Streptomyces coelicoflavus,285562,G3I46_01210,420,
A0A6N9VAV2,A0A6N9VAV2_STRMI Terpene synthase,Streptomyces microflavus,1919,ABR748_13740,442,
A0A6P5WPK7,A0A6P5WPK7_DURZI (+)-delta-cadinene synthase,Durio zibethinus,66656,LOC111276466,555,
A0A6P5WVP2,A0A6P5WVP2_DURZI (+)-delta-cadinene synthase,Durio zibethinus,66656,LOC111277972,549,
A0A6P5ZFL2,A0A6P5ZFL2_DURZI (+)-delta-cadinene synthase,Durio zibethinus,66656,LOC111300254,549,
A0A6P5ZGH0,A0A6P5ZGH0_DURZI (+)-delta-cadinene synthase,Durio zibethinus,66656,LOC111300253,549,
A0A6P5ZNJ6,A0A6P5ZNJ6_DURZI (+)-delta-cadinene synthase,Durio zibethinus,66656,LOC111302285,554,
A0A6P6TXF8,A0A6P6TXF8_COFAR myrcene synthase,Coffea arabica,13443,LOC113705398,551,
A0A6P6W2T9,A0A6P6W2T9_COFAR myrcene synthase,Coffea arabica,13443,LOC113729702,550,
A0A6P6X4C2,A0A6P6X4C2_COFAR myrcene synthase,Coffea arabica,13443,LOC113739289,551,
A0A6P6X9R5,A0A6P6X9R5_COFAR myrcene synthase,Coffea arabica,13443,LOC113741202,566,
A0A6P6YIV3,A0A6P6YIV3_DERPT Terpene synthase,Dermatophagoides pteronyssinus,6956,LOC113798474,421,
A0A6P8BNC3,A0A6P8BNC3_PYRGI Terpene synthase,Pyricularia grisea,148305,PgNI_00080,503,
A0A6V8H0N4,A0A6V8H0N4_TALPI Fusicoccadiene synthase,Talaromyces pinophilus,128442,TCE0_015r02742,719,
A0A7C8HZE2,A0A7C8HZE2_9PLEO Terpene synthase,Massariosphaeria phaeospora,100035,BDV95DRAFT_585002,400,
A0A7C8MRP7,A0A7C8MRP7_9PEZI Ent-kaurene synthase,Xylaria multiplex,323545,GQX73_g6510,963,
A0A7C8MVT0,A0A7C8MVT0_9PEZI Terpene synthase,Xylaria multiplex,323545,GQX73_g1886,407,
A0A7C8R0F9,A0A7C8R0F9_ORBOL Terpene synthase,Orbilia oligospora,2813651,TWF191_007753,248,
A0A7C8VIA5,A0A7C8VIA5_ORBOL Terpene synthase,Orbilia oligospora,2813651,TWF970_001464,229,
A0A7C9MY95,A0A7C9MY95_9ACTN Terpene synthase,Herbidospora solisilvae,2696284,GT755_19400,387,
A0A7C9RUU4,A0A7C9RUU4_9PSEU Terpene synthase,Lentzea alba,2714351,G7043_31565,354,
A0A7D3VWP0,A0A7D3VWP0_ACTVE Terpene synthase,Actinomadura verrucosospora,46165,ACTIVE_7207,753,
A0A7D4A4H9,A0A7D4A4H9_ACTVE Terpene synthase,Actinomadura verrucosospora,46165,ACTIVE_1985,461,
A0A7D5BHK7,A0A7D5BHK7_9BACT Terpene synthase,Vitiosangium cumulatum,1867796,,775,
A0A7D5UYG7,A0A7D5UYG7_9HYPO Terpene synthase,Metarhizium brunneum,500148,PRISS,272,
A0A7D5UZM1,A0A7D5UZM1_9HYPO Terpene synthase,Metarhizium brunneum,500148,CEABS,296,
A0A7D5YUF2,A0A7D5YUF2_9HYPO Terpene synthase,Metarhizium brunneum,500148,Ari1,326,
A0A7D5YVV2,A0A7D5YVV2_9HYPO Terpene synthase,Metarhizium brunneum,500148,CEABS,342,
A0A7D6CH57,A0A7D6CH57_9ACTN Terpene synthase,Micromonospora carbonacea,47853,HZU44_13280,368,
A0A7D6ZG89,A0A7D6ZG89_9NOCA 2-methylisoborneol synthase,Nocardia huaxiensis,2755382,H0264_35815,367,
A0A7G1KNH1,A0A7G1KNH1_9NOCA 2-methylisoborneol synthase,Nocardia wallacei,480035,NWFMUON74_46170,478,
A0A7G1N9C6,A0A7G1N9C6_9ACTN Terpene synthase,Streptomyces tuirus,68278,GCM10017668_01900,468,
A0A7G1PAY8,A0A7G1PAY8_9ACTN Terpene synthase,Streptomyces aurantiacus,47760,GCM10017557_74180,352,
A0A7G6KT53,A0A7G6KT53_9HYPO Terpene synthase,Trichoderma hypoxylon,1888172,traA,348,
A0A7G7BUY4,A0A7G7BUY4_9ACTN Terpene synthase,Streptomyces finlayi,67296,F0344_09530,325,
A0A7H0HSH6,A0A7H0HSH6_9ACTN Terpene synthase,Streptomyces genisteinicus,2768068,IAG43_11500,387,
A0A7H0I6Q9,A0A7H0I6Q9_9ACTN Terpene synthase,Streptomyces roseirectus,2768066,IAG44_02635,345,
A0A7H1BHI6,A0A7H1BHI6_9ACTN Terpene synthase,Streptomyces xanthii,2768069,IAG42_34310,448,
A0A7H1PRW1,A0A7H1PRW1_9ACTN Terpene synthase,Streptomyces griseofuscus,146922,HEP81_00455,422,
A0A7H8MVK7,A0A7H8MVK7_STRMI Terpene synthase,Streptomyces microflavus,1919,HUT09_28465,442,
A0A7H8QV06,A0A7H8QV06_TALRU Uncharacterized protein,Talaromyces rugulosus,121627,TRUGW13939_05022,754,
A0A7H8TJI3,A0A7H8TJI3_STRCX Terpene synthase,Streptomyces chartreusis,1969,HUT05_43670,349,
A0A7J0CAI7,A0A7J0CAI7_9ACTN Terpene synthase,Streptomyces fulvorobeus,284028,Sfulv_43300,335,
A0A7J5DHN0,A0A7J5DHN0_9ACTN Terpene synthase,Streptomyces triticiradicis,2651189,F8144_13095,417,
A0A7J6E0F8,A0A7J6E0F8_CANSA Terpene synthase,Cannabis sativa,3483,G4B88_030157,501,
A0A7J6EGH6,A0A7J6EGH6_CANSA Terpene synthase,Cannabis sativa,3483,G4B88_026937,552,
A0A7J6EMH2,A0A7J6EMH2_CANSA Terpene synthase,Cannabis sativa,3483,F8388_003606,565,
A0A7J6EMM8,A0A7J6EMM8_CANSA Terpene synthase,Cannabis sativa,3483,F8388_003608,543,
A0A7J6FKG4,A0A7J6FKG4_CANSA Terpene synthase,Cannabis sativa,3483,F8388_020923,533,
A0A7J6FNN5,A0A7J6FNN5_CANSA Terpene synthase,Cannabis sativa,3483,G4B88_006992,1105,
A0A7J6IEU9,A0A7J6IEU9_COLFN Terpene synthase,Colletotrichum fructicola (strain Nara gc5),1213859,Ari1-1,360,
A0A7J6IL20,A0A7J6IL20_COLFN Terpene synthase,Colletotrichum fructicola (strain Nara gc5),1213859,BOT2-4,205,
A0A7J6IP82,A0A7J6IP82_COLFN Terpene synthase,Colletotrichum fructicola (strain Nara gc5),1213859,BOT2-2,305,
A0A7J7G6X3,A0A7J7G6X3_CAMSI Valerianol synthase,Camellia sinensis,4442,HYC85_027649,625,
A0A7J7H8Z5,A0A7J7H8Z5_CAMSI Terpene synthase N-terminal domain-containing protein,Camellia sinensis,4442,HYC85_014698,133,
A0A7J8LCM6,A0A7J8LCM6_9ROSI (+)-delta-cadinene synthase,Gossypium lobatum,34289,Golob_021102,490,
A0A7J8NAL2,A0A7J8NAL2_9ROSI (+)-delta-cadinene synthase,Gossypium lobatum,34289,Golob_001161,562,
A0A7J8QZA6,A0A7J8QZA6_GOSDV (+)-delta-cadinene synthase,Gossypium davidsonii,34287,Godav_019227,550,
A0A7J8R325,A0A7J8R325_GOSDV (+)-delta-cadinene synthase,Gossypium davidsonii,34287,Godav_020190,557,
A0A7J8SGT7,A0A7J8SGT7_GOSDV (+)-delta-cadinene synthase,Gossypium davidsonii,34287,Godav_010546,387,
A0A7J8SHQ6,A0A7J8SHQ6_GOSDV Terpene synthase N-terminal domain-containing protein,Gossypium davidsonii,34287,Godav_010547,204,
A0A7J8T2N0,A0A7J8T2N0_GOSDV (+)-delta-cadinene synthase,Gossypium davidsonii,34287,Godav_001320,556,
A0A7J8TTN8,A0A7J8TTN8_9ROSI (+)-delta-cadinene synthase,Gossypium klotzschianum,34286,Goklo_026079,238,
A0A7J8TTP9,A0A7J8TTP9_9ROSI (+)-delta-cadinene synthase,Gossypium klotzschianum,34286,Goklo_026078,138,
A0A7J8TU91,A0A7J8TU91_9ROSI (+)-delta-cadinene synthase,Gossypium klotzschianum,34286,Goklo_026273,550,
A0A7J8VDL3,A0A7J8VDL3_9ROSI (+)-delta-cadinene synthase,Gossypium klotzschianum,34286,Goklo_012839,326,
A0A7J8VDL9,A0A7J8VDL9_9ROSI (+)-delta-cadinene synthase,Gossypium klotzschianum,34286,Goklo_012842,387,
A0A7J8W0J2,A0A7J8W0J2_9ROSI (+)-delta-cadinene synthase,Gossypium klotzschianum,34286,Goklo_001323,556,
A0A7J8YSZ9,A0A7J8YSZ9_GOSAI (+)-delta-cadinene synthase,Gossypium aridum,34290,Goari_022002,329,
A0A7J9AXL7,A0A7J9AXL7_9ROSI (+)-delta-cadinene synthase,Gossypium laxum,34288,Golax_001121,555,
A0A7J9CEQ0,A0A7J9CEQ0_GOSGO (+)-delta-cadinene synthase,Gossypium gossypioides,34282,Gogos_009463,387,
A0A7J9CFC8,A0A7J9CFC8_GOSGO Terpene synthase N-terminal domain-containing protein,Gossypium gossypioides,34282,Gogos_009464,250,
A0A7J9D6C7,A0A7J9D6C7_GOSGO (+)-delta-cadinene synthase,Gossypium gossypioides,34282,Gogos_022242,556,
A0A7J9DFE9,A0A7J9DFE9_9ROSI (+)-delta-cadinene synthase,Gossypium trilobum,34281,Gotri_022329,550,
A0A7J9EVB5,A0A7J9EVB5_9ROSI (+)-delta-cadinene synthase,Gossypium trilobum,34281,Gotri_011746,387,
A0A7J9FNZ9,A0A7J9FNZ9_9ROSI (+)-delta-cadinene synthase,Gossypium trilobum,34281,Gotri_026111,556,
A0A7J9I358,A0A7J9I358_9ROSI (+)-delta-cadinene synthase,Gossypium harknessii,34285,Gohar_001211,332,
A0A7J9IDJ4,A0A7J9IDJ4_9ROSI (+)-delta-cadinene synthase,Gossypium harknessii,34285,Gohar_021841,495,
A0A7J9JVU8,A0A7J9JVU8_9ROSI (+)-delta-cadinene synthase,Gossypium armourianum,34283,Goarm_010386,326,
A0A7J9JW15,A0A7J9JW15_9ROSI (+)-delta-cadinene synthase,Gossypium armourianum,34283,Goarm_010385,326,
A0A7J9M1G3,A0A7J9M1G3_GOSSC (+)-delta-cadinene synthase,Gossypium schwendimanii,34291,Goshw_006299,387,
A0A7J9MRJ4,A0A7J9MRJ4_GOSSC (+)-delta-cadinene synthase,Gossypium schwendimanii,34291,Goshw_002929,555,
A0A7J9NAT7,A0A7J9NAT7_GOSSC (+)-delta-cadinene synthase,Gossypium schwendimanii,34291,Goshw_008483,549,
A0A7J9NCR9,A0A7J9NCR9_GOSSC (+)-delta-cadinene synthase,Gossypium schwendimanii,34291,Goshw_013267,387,
A0A7K0BNW5,A0A7K0BNW5_9ACTN Terpene synthase,Actinomadura macrotermitis,2585200,ACRB68_05820,386,
A0A7K0BVB9,A0A7K0BVB9_9ACTN Terpene synthase,Actinomadura macrotermitis,2585200,tpc,366,
A0A7K0BZI7,A0A7K0BZI7_9ACTN Terpene synthase,Actinomadura macrotermitis,2585200,cyc2,785,
A0A7K0CE61,A0A7K0CE61_9ACTN Terpene synthase,Streptomyces smaragdinus,2585196,tpc,396,
A0A7K0D6X8,A0A7K0D6X8_9NOCA Terpene synthase,Nocardia macrotermitis,2585198,NRB20_42010,530,
A0A7K0DLH5,A0A7K0DLH5_9NOCA Terpene synthase,Nocardia aurantia,2585199,cyc2,720,
A0A7K0DYN1,A0A7K0DYN1_9NOCA Terpene synthase,Nocardia aurantia,2585199,NRB56_65180,464,
A0A7K1KY01,A0A7K1KY01_9ACTN Terpene synthase,Actinomadura litoris,2678616,GNZ18_10770,750,
A0A7K2IY01,A0A7K2IY01_9ACTN 2-methylisoborneol synthase,Nocardiopsis alba,53437,GTW20_21200,427,
A0A7K3PP36,A0A7K3PP36_9ACTN Terpene synthase,Streptomyces coelicoflavus,285562,G3I32_23195,405,
A0A7K3R466,A0A7K3R466_STRAQ Terpene synthase,Streptomyces anulatus,1892,G3I58_02875,441,
A0A7K3RJS1,A0A7K3RJS1_STRAQ Terpene synthase,Streptomyces anulatus,1892,G3I58_31185,325,
A0A7K3S2I3,A0A7K3S2I3_9ACTN Terpene synthase,Streptomyces parvus,66428,G3I50_26240,325,
A0A7M2SDP0,A0A7M2SDP0_9ACTN Terpene synthase,Streptomyces ferrugineus,1413221,IM697_25785,349,
A0A7M3UPY7,A0A7M3UPY7_9MONI Terpene synthase,Aglaomorpha bonii,272673,,432,
A0A7R6PV56,A0A7R6PV56_PENCH Diterpene synthase,Penicillium chrysogenum,5076,PchDS,740,
A0A7R7HXK5,A0A7R7HXK5_9ACTN Terpene synthase,Actinocatenispora thailandica,227318,Athai_37800,417,
A0A7R7VIN2,A0A7R7VIN2_ASPCH Geranylgeranyl pyrophosphate synthase,Aspergillus chevalieri,182096,ACHE_20854A,706,
A0A7R8A2E5,A0A7R8A2E5_ASPKA Uncharacterized protein,Aspergillus kawachii,1069201,AKAW2_70024S,696,
A0A7R9KLG1,A0A7R9KLG1_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS5444,348,
A0A7R9KMU0,A0A7R9KMU0_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS6418,405,
A0A7R9KSF9,A0A7R9KSF9_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS7618,612,
A0A7R9L269,A0A7R9L269_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS12943,341,
A0A7R9L816,A0A7R9L816_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS16715,323,
A0A7R9LNE5,A0A7R9LNE5_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS4910,347,
A0A7R9LP53,A0A7R9LP53_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS5134,331,
A0A7R9LXJ6,A0A7R9LXJ6_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS6798,345,
A0A7R9LY26,A0A7R9LY26_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS7546,383,
A0A7R9M2B2,A0A7R9M2B2_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS8703,336,
A0A7R9MEJ8,A0A7R9MEJ8_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS15358,354,
A0A7R9Q1I9,A0A7R9Q1I9_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS8349,351,
A0A7R9Q2D6,A0A7R9Q2D6_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS10009,382,
A0A7R9Q9S5,A0A7R9Q9S5_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS16559,274,
A0A7R9QHH6,A0A7R9QHH6_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS5393,285,
A0A7R9QHN5,A0A7R9QHN5_9ACAR Terpene synthase,Medioppia subpectinata,1979941,OSB1V03_LOCUS20930,321,
A0A7R9QM64,A0A7R9QM64_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS7545,303,
A0A7R9QQF5,A0A7R9QQF5_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS9990,354,
A0A7R9QVE4,A0A7R9QVE4_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS16455,366,
A0A7R9QVK5,A0A7R9QVK5_9ACAR Terpene synthase,Oppiella nova,334625,ONB1V03_LOCUS15021,344,
A0A7S8D9B4,A0A7S8D9B4_FUSCU Terpene synthase,Fusarium culmorum,5516,HYE67_006610,400,
A0A7T1TD74,A0A7T1TD74_9ACTN Terpene synthase,Streptomyces bathyalis,2710756,G4Z16_14665,749,
A0A7T1WRF0,A0A7T1WRF0_9ACTN Terpene synthase,Streptomyces bathyalis,2710756,G4Z16_17840,352,
A0A7T7BPM5,A0A7T7BPM5_PENDI Terpenoid synthase-like protein,Penicillium digitatum,36651,Pdw03_5145,742,
A0A7T7I0P8,A0A7T7I0P8_9ACTN Terpene synthase,Streptomyces liliifuscus,2797636,JEQ17_04895,350,
A0A7U2FF90,A0A7U2FF90_PHANO Terpene synthase,Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173),321614,JI435_048070,372,
A0A7U2N1W6,A0A7U2N1W6_ASPFN Geranylgeranyl pyrophosphate synthase,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,F9C07_1758736,700,
A0A7U2QZK8,A0A7U2QZK8_ASPFN Geranylgeranyl pyrophosphate synthase,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,F9C07_2244108,371,
A0A7U2R3Y4,A0A7U2R3Y4_ASPFN Geranylgeranyl pyrophosphate synthase,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,F9C07_2285868,387,
A0A7U3MPB9,A0A7U3MPB9_ARMGA Terpene synthase,Armillaria gallica,47427,6-protoilludene,346,
A0A7U3UPC1,A0A7U3UPC1_9ACTN Terpene synthase,Actinacidiphila reveromycinica,659352,RVR_1458,368,
A0A7U9HFQ9,A0A7U9HFQ9_STRLI Terpene synthase,Streptomyces lividans 1326,1200984,SLI_7931,412,
A0A7U9L2F4,A0A7U9L2F4_9ACTN Terpene synthase,Streptomyces chrestomyceticus JCM 4735,1306181,OEIGOIKO_07662,354,
A0A7U9PY73,A0A7U9PY73_9ACTN Terpene synthase,Streptomyces chrestomyceticus JCM 4735,1306181,OEIGOIKO_00652,419,
